Date,Open,High,Low,Close,Adj Close,Volume,MA,RSI,Stock RSI
2024-03-25,67.11,71.25,67.11,71.17,71.17,1028800,53.94520000000001,63.93939393939393,0.5588465785640607
2024-03-26,71.01,71.08,69.41,69.57,69.57,607000,54.459399999999995,54.206241519674336,0.2856018321701367
2024-03-27,71.75,71.91,68.49,68.71,68.71,595900,54.965199999999996,51.551956815114686,0.21108647273887363
2024-03-28,71.23,71.83,70.59,71.01,71.01,421200,55.5292,52.6853377265239,0.24290456890659465
2024-04-01,70.17,70.21,68.2,69.8,69.8,271700,56.1082,45.91872177839527,0.05294121695646104
2024-04-02,64.94,66.36,64.56,65.96,65.96,307800,56.596199999999996,41.416040100250626,0.0
2024-04-03,65.84,67.0,65.63,65.87,65.87,245000,57.1096,37.03083109919574,0.0
2024-04-04,67.41,69.39,67.19,68.58,68.58,383800,57.69780000000001,48.65629420084865,0.3525576707292935
2024-04-05,67.0,68.64,66.89,67.41,67.41,324400,58.2548,47.04273504273504,0.37207129949663115
2024-04-08,72.25,72.25,71.28,71.8,71.8,427800,58.8952,57.78414517669531,0.7712531583625339
2024-04-09,70.77,70.98,68.28,69.02,69.02,382100,59.43600000000001,57.34597156398102,0.7549693599554442
2024-04-10,67.72,70.09,67.56,70.09,70.09,286500,59.974799999999995,56.675224646983295,0.7300424650862873
2024-04-11,70.8,70.92,69.55,70.51,70.51,294600,60.513600000000004,58.41680129240711,0.7947644889181251
2024-04-12,70.25,70.29,65.22,66.89,66.89,818100,61.001599999999996,54.37593984962406,0.6445943937413408
2024-04-15,66.32,66.53,62.44,63.33,63.33,295900,61.407799999999995,36.76569885212695,0.0
2024-04-16,63.26,63.38,61.76,62.75,62.75,293700,61.8038,38.0769230769231,0.060561545464618956
2024-04-17,62.36,62.98,59.71,61.02,61.02,568700,62.176399999999994,36.95283338988804,0.008643187490210218
2024-04-18,62.51,64.1,62.05,63.55,63.55,230000,62.5848,37.44107744107743,0.03119372747015374
2024-04-19,64.87,65.19,63.64,64.36,64.36,218800,62.9884,40.71672354948806,0.18248607470493228
2024-04-22,66.17,66.95,65.78,66.57,66.57,248000,63.408,51.10227683411637,0.6621638792543585
2024-04-23,66.23,67.2,66.2,66.52,66.52,142400,63.7866,51.17625769091565,0.665580834903769
2024-04-24,66.1,66.36,63.79,63.86,63.86,334400,64.0584,41.443074691805656,0.2160340727489616
2024-04-25,63.17,64.91,62.84,64.75,64.75,198700,64.36359999999999,45.12820512820513,0.38623928269446456
2024-04-26,63.81,64.77,63.32,63.77,63.77,297800,64.6032,33.19380493930517,0.0
2024-04-29,62.54,63.19,61.72,62.92,62.92,110500,64.825,36.11111111111112,0.11566057144702327
2024-04-30,61.2,61.43,58.93,59.02,59.02,438600,64.96640000000001,27.672448567970932,0.0
2024-05-01,57.64,59.4,56.58,56.91,56.91,406300,65.06439999999999,24.32024169184288,0.0
2024-05-02,58.82,59.6,58.32,59.47,59.47,437000,65.2338,35.405192761605036,0.41275485798581873
2024-05-03,61.34,62.33,61.28,62.23,62.23,562400,65.4376,47.76604386677497,0.8730186255378155
2024-05-06,63.7,64.27,62.81,63.19,63.19,206500,65.6788,50.88,0.9889686656827329
2024-05-07,63.62,64.37,62.86,63.11,63.11,149800,65.8506,54.475374732334046,1.0
2024-05-08,62.06,62.75,61.78,62.17,62.17,65000,65.952,46.82904411764706,0.7464335307551193
2024-05-09,61.34,62.74,60.91,62.55,62.55,97800,65.995,45.757149554617904,0.7108875239910353
2024-05-10,62.94,63.18,60.2,60.7,60.7,260200,65.9676,36.00381497377207,0.3874489051744834
2024-05-13,62.87,63.5,62.63,63.2,63.2,277000,65.96979999999999,42.91204099060633,0.6165384604272542
2024-05-14,62.01,62.24,61.13,61.61,61.61,100400,65.847,44.96644295302013,0.6846662302386235
2024-05-15,64.36,66.56,64.04,66.12,66.12,330400,65.93,52.637658837119766,0.9390579410561158
2024-05-16,66.1,66.5,64.68,65.26,65.26,177600,65.8934,52.88201160541587,0.947161130916628
2024-05-17,66.47,67.59,65.93,67.15,67.15,139800,65.8806,57.865377463741176,1.0
2024-05-20,67.1,70.21,66.83,70.15,70.15,113000,65.896,71.41208156983456,1.0
2024-05-21,71.0,71.33,69.19,69.3,69.3,166600,65.839,75.05054589567327,1.0
2024-05-22,69.8,70.71,69.29,69.78,69.78,155500,65.8058,72.75938189845475,0.9413225142509072
2024-05-23,69.29,69.29,66.76,67.2,67.2,111400,65.6776,61.05919003115265,0.6416766388841811
